session_id,event_type,topic,confidence_level,date,time,timestamp
874f1912,query_general,metaheuristicas,unknown,2025-09-07,20:26:29,1757276789
874f1912,query_general,metaheuristicas,unknown,2025-09-07,20:41:31,1757277691
