session_id,user_id_partial,subject,message_length,query_type,complexity,response_length,source_count,model_used,date,time,timestamp
7a4c656f-79b8-456c-bd3a-866fd91edb7c,nuevo@ej...,metaheuristicas,22,general,simple,169,0,base,2025-09-08,10:30:35,1757327435.421926
7a4c656f-79b8-456c-bd3a-866fd91edb7c,nuevo@ej...,metaheuristicas,14,question,simple,21,0,base,2025-09-08,10:30:39,1757327439.880334
0e353e48-fefb-4fce-9798-e7ec0ba0be85,nuevo@ej...,metaheuristicas,22,general,simple,128,0,base,2025-09-08,10:47:40,1757328460.756469
0e353e48-fefb-4fce-9798-e7ec0ba0be85,nuevo@ej...,metaheuristicas,14,question,simple,156,0,base,2025-09-08,10:47:46,1757328466.794129
4dc0ebab-f635-4bf7-aad9-3bf6b264061a,nuevo@ej...,metaheuristicas,37,question,simple,115,0,base,2025-09-09,11:31:03,1757417463.332039
f814d7e5-1dfb-43e0-bbaf-578748ae760d,nuevo@ej...,metaheuristicas,37,question,simple,157,0,base,2025-09-09,12:24:34,1757420674.209127
